title,url
Privacy-preserving AI services through data decentralization,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Peer grading the peer reviews: a dual-role approach for lightening the scholarly paper review process,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Information Elicitation from Rowdy Crowds,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
AutoSTG: Neural Architecture Search for Predictions of Spatio-Temporal Graph✱,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Touch Screen Exploration of Visual Artwork for Blind People,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Tracing the factoids: the anatomy of information re-organization in Wikipedia articles,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"Desmond (XU Minghui); DARATAN, Randy Tandriansyah; and JAIMAN, Nikita. A feasibility study on crowdsourcing to monitor municipal resources in smart …","https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
What sparks joy: The AffectVec emotion database,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"What is normal, what is strange, and what is missing in a knowledge graph: Unified characterization via inductive summarization","https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Local clustering in contextual multi-armed bandits,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Musiclynx: Exploring music through artist similarity graphs,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Multiple knowledge syncretic transformer for natural dialogue generation,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Snippext: Semi-supervised opinion mining with augmented data,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Cookie Swap Party: Abusing First-Party Cookies for Web Tracking,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Advanced semantics for commonsense knowledge extraction,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Are these comments triggering? predicting triggers of toxicity in online discussions,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Modeling and aggregation of complex annotations via annotation distances,"https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"Radflow: A recurrent, aggregated, and decomposable model for networks of time series","https://scholar.google.com/scholar?start=40&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Cooks or cobblers? Crowd creativity through combination,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Field trial of tiramisu: crowd -sourcing bus arrival times to spur co-design,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Twitch crowdsourcing: crowd contributions in short bursts of time,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
# EpicPlay: Crowd -sourcing sports video highlights,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Don't hide in the crowd ! Increasing social transparency between peer workers improves crowdsourcing outcomes,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
We are dynamo: Overcoming stalling and friction in collective action for crowd workers,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Shepherding the crowd : managing and providing feedback to crowd workers,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
