title,year,conf,conf_long
Interpreting and Unifying Graph Neural Networks with An Optimization Framework,2021,WWW,International World Wide Web Conference
Interventions for Softening Can Lead to Hardening of Opinions: Evidence from a Randomized Controlled Trial,2021,WWW,International World Wide Web Conference
"It’s Not Just the Site, it’s the Contents: Intra-domain Fingerprinting Social Media Websites Through CDN Bursts",2021,WWW,International World Wide Web Conference
Itinerary-aware Personalized Deep Matching at Fliggy,2021,WWW,International World Wide Web Conference
Joint Spatio-Textual Reasoning for Answering Tourism Questions,2021,WWW,International World Wide Web Conference
Keyword-aware Abstractive Summarization by Extracting Set-level Intermediate Summaries,2021,WWW,International World Wide Web Conference
Knowledge Embedding Based Graph Convolutional Network,2021,WWW,International World Wide Web Conference
Knowledge-Aware Procedural Text Understanding with Multi-Stage Training,2021,WWW,International World Wide Web Conference
Knowledge-Preserving Incremental Social Event Detection via Heterogeneous GNNs,2021,WWW,International World Wide Web Conference
Large-scale Comb-K Recommendation,2021,WWW,International World Wide Web Conference
Latent Target-Opinion as Prior for Document-Level Sentiment Classification: A Variational  Approach from Fine-Grained Perspective,2021,WWW,International World Wide Web Conference
LChecker: Detecting Loose Comparison Bugs in PHP,2021,WWW,International World Wide Web Conference
Learning a Product Relevance Model from Click-Through Data in e-Commerce,2021,WWW,International World Wide Web Conference
Learning Dynamic User Behavior Based on Error-driven Event Representation,2021,WWW,International World Wide Web Conference
Learning Fair Representations for Recommendation: A Graph-based Perspective,2021,WWW,International World Wide Web Conference
Learning from Graph Propagation via Ordinal Distillation for One-Shot Automated Essay Scoring,2021,WWW,International World Wide Web Conference
Learning Heterogeneous Temporal Patterns of User Preference for Timely Recommendation,2021,WWW,International World Wide Web Conference
Learning Intents behind Interactions with Knowledge Graph for Recommendation,2021,WWW,International World Wide Web Conference
Learning Neural Point Processes with Latent Graphs,2021,WWW,International World Wide Web Conference
Leveraging Review Properties for Effective Recommendation,2021,WWW,International World Wide Web Conference
Leveraging User Behavior History for Personalized Email Search,2021,WWW,International World Wide Web Conference
