title,year,conf,conf_long
Graph-Based High-Order Relation Discovery for Fine-Grained Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Normal Integration via Inverse Plane Fitting With Minimum Point-to-Plane Distance,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
NPAS: A Compiler-Aware Framework of Unified Network Pruning and Architecture Search for Beyond Real-Time Mobile Acceleration,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Spatial Feature Calibration and Temporal Fusion for Effective One-Stage Video Instance Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Asynchronous and Sparse Human-Object Interaction in Videos,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Single Image Reflection Removal With Absorption Effect,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
One-Shot Neural Ensemble Architecture Search by Diversity-Guided Search Space Shrinking,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Disentangled Cycle Consistency for Highly-Realistic Virtual Try-On,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
M3DSSD: Monocular 3D Single Stage Object Detector,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Structure-Aware Face Clustering on a Large-Scale Graph With 107 Nodes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Objects Are Different: Flexible Monocular 3D Object Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Permuted AdaIN: Reducing the Bias Towards Global Statistics in Image Classification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Pixel Codec Avatars,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SimPLE: Similar Pseudo Label Exploitation for Semi-Supervised Classification,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Context-Aware Layout to Image Generation With Enhanced Object Appearance,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Mask-Embedded Discriminator With Region-Based Semantic Regularization for Semi-Supervised Class-Conditional Image Synthesis,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
LEAP: Learning Articulated Occupancy of People,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ANR: Articulated Neural Rendering for Virtual Avatars,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Flow-Based Kernel Prior With Application to Blind Super-Resolution,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Probabilistic Selective Encryption of Convolutional Neural Networks for Hierarchical Services,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Cuboids Revisited: Learning Robust 3D Shape Fitting to Single RGB Images,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Dive Into Ambiguity: Latent Distribution Mining and Pairwise Uncertainty Estimation for Facial Expression Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Attention-Guided Image Compression by Deep Reconstruction of Compressive Sensed Saliency Skeleton,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Cluster-Wise Hierarchical Generative Model for Deep Amortized Clustering,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Mirror3D: Depth Refinement for Mirror Surfaces,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Propagate Yourself: Exploring Pixel-Level Consistency for Unsupervised Visual Representation Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Reciprocal Transformations for Unsupervised Video Object Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Detection, Tracking, and Counting Meets Drones in Crowds: A Benchmark",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Complete 3D Morphable Face Models From Images and Videos,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Bottom-Up Shift and Reasoning for Referring Image Segmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Sparse Auxiliary Networks for Unified Monocular Depth Prediction and Completion,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DeepMetaHandles: Learning Deformation Meta-Handles of 3D Meshes With Biharmonic Coordinates,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Panoptic Segmentation Forecasting,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SRDAN: Scale-Aware and Range-Aware Domain Adaptation Network for Cross-Dataset 3D Object Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Pedestrian and Ego-Vehicle Trajectory Prediction From Monocular Camera,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Globally Optimal Relative Pose Estimation With Gravity Prior,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Mutual CRF-GNN for Few-Shot Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Weakly Supervised Action Selection Learning in Video,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Student Networks in the Wild,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Distilling Knowledge via Knowledge Review,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
DoDNet: Learning To Segment Multi-Organ and Tumors From Multiple Partially Labeled Datasets,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Lips Don't Lie: A Generalisable and Robust Approach To Face Forgery Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Exploring Simple Siamese Representation Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
CAMERAS: Enhanced Resolution and Sanity Preserving Class Activation Mapping for Image Saliency,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
3D AffordanceNet: A Benchmark for Visual Object Affordance Understanding,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning To Segment Actions From Visual and Language Instructions via Differentiable Weak Sequence Alignment,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Deep Implicit Templates for 3D Shape Representation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Semantic Image Matting,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Semi-Supervised Semantic Segmentation With Cross Pseudo Supervision,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Ranking Neural Checkpoints,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
SuperMix: Supervising the Mixing Data Augmentation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Informative and Consistent Correspondence Mining for Cross-Domain Weakly Supervised Object Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
